"","death","pm10tmean","tmpd","dptp","dow","date"
"1733",115,-8.176493757,53.5,46,"Sunday",1991-09-29
"1734",126,41.451219512,67.5,50.25,"Monday",1991-09-30
"1735",106,19.788145897,59,47.375,"Tuesday",1991-10-01
"1736",126,12.507598784,69,60.25,"Wednesday",1991-10-02
"1737",118,-5.360978077,62.5,53.375,"Thursday",1991-10-03
"1738",109,-19.43465046,56,54.875,"Friday",1991-10-04
"1739",127,-21.09038969,48,31.25,"Saturday",1991-10-05
"1740",126,-18.35258359,44,33,"Sunday",1991-10-06
"1741",116,-11.72752829,45,33.625,"Monday",1991-10-07
"1742",114,-5.516717325,62.5,47,"Tuesday",1991-10-08
"1743",124,14.426086864,61.5,46.875,"Wednesday",1991-10-09
"1744",114,28.373860182,53.5,42.375,"Thursday",1991-10-10
"1745",136,-2.554924296,56,38,"Friday",1991-10-11
"1746",101,-9.604863222,48.5,38.5,"Saturday",1991-10-12
"1747",104,-23.03109437,46,37.25,"Sunday",1991-10-13
"1748",116,NA,50.5,34.375,"Monday",1991-10-14
"1749",125,-7.748579382,41.5,24,"Tuesday",1991-10-15
"1750",113,2.1939393939,45.5,33.875,"Wednesday",1991-10-16
"1751",127,37.836610289,61.5,40.625,"Thursday",1991-10-17
"1752",94,-8.803030303,44.5,36.25,"Friday",1991-10-18
"1753",111,-13.15340909,38,24.5,"Saturday",1991-10-19
"1754",89,-14.9118541,41.5,25.5,"Sunday",1991-10-20
"1755",112,11.43269946,50.5,44,"Monday",1991-10-21
"1756",127,11.158054711,64,47,"Tuesday",1991-10-22
"1757",110,20.879740994,66.5,60.75,"Wednesday",1991-10-23
"1758",117,-9.856707317,68,63.625,"Thursday",1991-10-24
"1759",124,-24.60358635,58.5,48.125,"Friday",1991-10-25
"1760",141,-14.71732523,50.5,46.875,"Saturday",1991-10-26
"1761",119,-25.86332151,50,51,"Sunday",1991-10-27
"1762",117,-31.56534954,55,53.625,"Monday",1991-10-28
"1763",117,-6.914027149,63.5,60.25,"Tuesday",1991-10-29
"1764",111,-26.64133739,46.5,38.125,"Wednesday",1991-10-30
"1765",92,NA,48,49.875,"Thursday",1991-10-31
"1766",113,NA,43.5,28,"Friday",1991-11-01
"1767",120,-14.55796498,25,10.375,"Saturday",1991-11-02
"1768",122,-18.00607903,18.5,16.75,"Sunday",1991-11-03
"1769",127,4.7003704407,18.5,9.625,"Monday",1991-11-04
"1770",141,-8.969604863,28,26.375,"Tuesday",1991-11-05
"1771",104,-5.934623438,28.5,6.25,"Wednesday",1991-11-06
"1772",127,-5.151975684,20,-1.625,"Thursday",1991-11-07
"1773",106,3.13427159,22,7.875,"Friday",1991-11-08
"1774",127,-28.22492401,26,18.125,"Saturday",1991-11-09
"1775",137,3.9144343127,33,27.25,"Sunday",1991-11-10
"1776",131,NA,34.5,33.125,"Monday",1991-11-11
"1777",119,-1.588620821,35,32,"Tuesday",1991-11-12
"1778",118,-7.12195122,45.5,38.625,"Wednesday",1991-11-13
"1779",111,0.0947976433,48,51.625,"Thursday",1991-11-14
"1780",115,3.0548780488,50,42,"Friday",1991-11-15
"1781",110,-12.31870743,41,33.375,"Saturday",1991-11-16
"1782",111,NA,42.5,39.25,"Sunday",1991-11-17
"1783",130,-4.888788489,57,57.625,"Monday",1991-11-18
"1784",109,-7.12195122,57,48.75,"Tuesday",1991-11-19
"1785",94,-13.76632676,40.5,32.25,"Wednesday",1991-11-20
"1786",130,NA,40,33.125,"Thursday",1991-11-21
"1787",130,4.6380545432,43.5,40.625,"Friday",1991-11-22
"1788",119,-15.28134557,34.5,19.625,"Saturday",1991-11-23
"1789",116,-2.309815951,23,16.5,"Sunday",1991-11-24
"1790",108,-8.350769231,17.5,10.125,"Monday",1991-11-25
"1791",110,0.8625064445,23,21.125,"Tuesday",1991-11-26
"1792",117,-0.305810398,38.5,33,"Wednesday",1991-11-27
"1793",111,-30.84775314,36,36.75,"Thursday",1991-11-28
"1794",129,NA,49,53.5,"Friday",1991-11-29
"1795",112,-27.29302326,43.5,25.75,"Saturday",1991-11-30
"1796",102,-16.44036697,27,13.375,"Sunday",1991-12-01
"1797",136,-19.15122137,30.5,30,"Monday",1991-12-02
"1798",133,-13.39449541,22,12.375,"Tuesday",1991-12-03
"1799",134,-5.918852565,8,-1,"Wednesday",1991-12-04
"1800",124,-12.6146789,20.5,19,"Thursday",1991-12-05
"1801",114,-7.561017829,24,30.625,"Friday",1991-12-06
"1802",132,-15.72782875,44,46.375,"Saturday",1991-12-07
"1803",150,-11.70839879,49,45.5,"Sunday",1991-12-08
"1804",115,-4.314285714,35.5,32,"Monday",1991-12-09
"1805",139,-15.32380952,38.5,36.375,"Tuesday",1991-12-10
"1806",127,-7.305810398,40,34.75,"Wednesday",1991-12-11
"1807",136,-13.80867828,49,50.25,"Thursday",1991-12-12
"1808",114,5.7033639144,37.5,35.25,"Friday",1991-12-13
"1809",142,1.261696136,29,11.875,"Saturday",1991-12-14
"1810",136,-9.391437309,18,1.5,"Sunday",1991-12-15
"1811",136,-13.37492798,21,24.375,"Monday",1991-12-16
"1812",120,10.388379205,28.5,12.375,"Tuesday",1991-12-17
"1813",133,-10.05002821,15.5,4.75,"Wednesday",1991-12-18
"1814",137,1.128440367,19,15.625,"Thursday",1991-12-19
"1815",120,-7.887290001,32.5,32.875,"Friday",1991-12-20
"1816",138,-15.69724771,31,27.25,"Saturday",1991-12-21
"1817",135,-29.34956827,32.5,34.5,"Sunday",1991-12-22
"1818",146,-13.81651376,30.5,18.625,"Monday",1991-12-23
"1819",145,-6.819571865,30,26.375,"Tuesday",1991-12-24
"1820",128,3.2079510703,30,28.75,"Wednesday",1991-12-25
"1821",127,-3.09466635,35.5,32.375,"Thursday",1991-12-26
"1822",128,-4.590214067,35.5,32,"Friday",1991-12-27
"1823",122,-8.49235474,35,34,"Saturday",1991-12-28
"1824",137,6.5412844037,32.5,27.625,"Sunday",1991-12-29
"1825",127,-6.487804878,34,28.5,"Monday",1991-12-30
"1826",117,-14.36890244,33,28,"Tuesday",1991-12-31
"1827",126,-3.613152128,33.5,32.625,"Wednesday",1992-01-01
"1828",131,-4.56402439,39.5,41.875,"Thursday",1992-01-02
"1829",145,-8.438680114,38.5,34.875,"Friday",1992-01-03
"1830",151,-13.48024316,35,32.5,"Saturday",1992-01-04
"1831",106,-14.88330273,35,32.375,"Sunday",1992-01-05
"1832",150,-5.454268293,35,33.125,"Monday",1992-01-06
"1833",147,4.0187077899,34.5,31.5,"Tuesday",1992-01-07
"1834",124,-13.9962704,38.5,40.875,"Wednesday",1992-01-08
"1835",136,-7.011421911,38,33.625,"Thursday",1992-01-09
"1836",128,-8.492986567,30,23.125,"Friday",1992-01-10
"1837",131,-15.43995626,36,34.875,"Saturday",1992-01-11
"1838",136,-17.50349348,36.5,38.125,"Sunday",1992-01-12
"1839",135,-18.59045454,32.5,30.75,"Monday",1992-01-13
"1840",143,-11.35045317,20.5,10.5,"Tuesday",1992-01-14
"1841",143,-2.33917894,6,-9.625,"Wednesday",1992-01-15
"1842",119,-1.111972288,7.5,15,"Thursday",1992-01-16
"1843",131,-5.528890717,21,3.25,"Friday",1992-01-17
"1844",116,NA,5.5,-7.25,"Saturday",1992-01-18
"1845",117,-8.057586688,14.5,23.375,"Sunday",1992-01-19
"1846",138,2.3192186576,24,20.5,"Monday",1992-01-20
"1847",125,-0.708994709,33.5,33,"Tuesday",1992-01-21
"1848",130,-0.453172205,35.5,36.875,"Wednesday",1992-01-22
"1849",114,10.424029376,28.5,15.875,"Thursday",1992-01-23
"1850",131,25.411944784,18.5,7.25,"Friday",1992-01-24
"1851",143,-10.6658145,25,20.5,"Saturday",1992-01-25
"1852",135,-5.510574018,19.5,23.125,"Sunday",1992-01-26
"1853",128,5.7691410805,30,25.875,"Monday",1992-01-27
"1854",111,1.2520840117,29.5,25.75,"Tuesday",1992-01-28
"1855",104,6.7686502768,30,31.5,"Wednesday",1992-01-29
"1856",120,0.9144185437,33.5,34.375,"Thursday",1992-01-30
"1857",115,-15.86131563,32,22.375,"Friday",1992-01-31
"1858",129,2.3861017842,30.5,22.625,"Saturday",1992-02-01
"1859",129,-15.62594641,37.5,33.5,"Sunday",1992-02-02
"1860",141,43.289568108,43.5,43,"Monday",1992-02-03
"1861",125,-12.68226107,36,25.375,"Tuesday",1992-02-04
"1862",87,-11.18318318,32.5,30.25,"Wednesday",1992-02-05
"1863",118,2.0787182848,34.5,30.375,"Thursday",1992-02-06
"1864",142,-4.737041389,28,17.375,"Friday",1992-02-07
"1865",123,-14.28648649,18.5,4.625,"Saturday",1992-02-08
"1866",99,4.1413173653,17.5,11.5,"Sunday",1992-02-09
"1867",117,38.623353293,31,33,"Monday",1992-02-10
"1868",119,-20.37446303,27,12.5,"Tuesday",1992-02-11
"1869",127,-4.6849281,23.5,18.375,"Wednesday",1992-02-12
"1870",118,-1.692137464,30,30.5,"Thursday",1992-02-13
"1871",119,-7.600833468,33,32.5,"Friday",1992-02-14
"1872",106,-13.36092489,35,33.625,"Saturday",1992-02-15
"1873",115,-12.84885095,34,34.625,"Sunday",1992-02-16
"1874",118,-8.189189189,37.5,36.375,"Monday",1992-02-17
"1875",140,3.6230034406,40.5,42.375,"Tuesday",1992-02-18
"1876",99,-13.15618762,37.5,32.875,"Wednesday",1992-02-19
"1877",124,-2.185046009,39.5,34.5,"Thursday",1992-02-20
"1878",110,-14.35514124,31.5,27.375,"Friday",1992-02-21
"1879",108,-4.045045045,42,33.875,"Saturday",1992-02-22
"1880",137,-4.635127148,37,36.875,"Sunday",1992-02-23
"1881",125,3.2912960056,36,34.125,"Monday",1992-02-24
"1882",114,-3.097461824,33.5,27.25,"Tuesday",1992-02-25
"1883",125,-9.031746032,33.5,31.375,"Wednesday",1992-02-26
"1884",119,-10.77777778,39.5,34.125,"Thursday",1992-02-27
"1885",127,-17.8,39.5,26.625,"Friday",1992-02-28
"1886",105,-23.00526316,30,25.125,"Saturday",1992-02-29
"1887",113,2.2974871702,54,41.125,"Sunday",1992-03-01
"1888",120,5.1820214952,45.5,37.875,"Monday",1992-03-02
"1889",122,13.795811518,38,38.125,"Tuesday",1992-03-03
"1890",118,37.49637897,49,40.75,"Wednesday",1992-03-04
"1891",110,59.420861402,53,53.75,"Thursday",1992-03-05
"1892",99,10.513222247,55.5,52.125,"Friday",1992-03-06
"1893",112,7.988759887,48,48,"Saturday",1992-03-07
"1894",104,-11.85792478,52.5,50.375,"Sunday",1992-03-08
"1895",125,-5.332273277,44,31.375,"Monday",1992-03-09
"1896",115,-6.728967309,20.5,11,"Tuesday",1992-03-10
"1897",128,-5.230468811,19.5,16,"Wednesday",1992-03-11
"1898",119,-7.809127858,22.5,12.375,"Thursday",1992-03-12
"1899",114,-1.286018224,25.5,21.875,"Friday",1992-03-13
"1900",99,-12.27443052,29,19.75,"Saturday",1992-03-14
"1901",99,-10.82838938,29,17,"Sunday",1992-03-15
"1902",121,-11.0048979,34.5,36.875,"Monday",1992-03-16
"1903",126,-13.09311988,38,24,"Tuesday",1992-03-17
"1904",109,-19.40400831,34,22,"Wednesday",1992-03-18
"1905",125,-10.05606019,36,22.75,"Thursday",1992-03-19
"1906",102,-0.00570072,35,21.125,"Friday",1992-03-20
"1907",122,-6.974738964,30.5,31.125,"Saturday",1992-03-21
"1908",116,-20.44768754,27.5,14.125,"Sunday",1992-03-22
"1909",138,14.035845395,30.5,23.125,"Monday",1992-03-23
"1910",101,18.007673096,43,34.25,"Tuesday",1992-03-24
"1911",120,6.5686477951,44.5,32.375,"Wednesday",1992-03-25
"1912",127,6.487309301,41.5,26.875,"Thursday",1992-03-26
"1913",95,-13.56461078,34,26,"Friday",1992-03-27
"1914",90,-0.502155689,36,31.25,"Saturday",1992-03-28
"1915",137,-15.03386511,39.5,37.75,"Sunday",1992-03-29
"1916",115,-6.066181071,42,29.5,"Monday",1992-03-30
"1917",118,0.9131806273,41.5,27,"Tuesday",1992-03-31
"1918",103,-20.3382196,33.5,25.25,"Wednesday",1992-04-01
"1919",116,-8.548523642,31.5,19.5,"Thursday",1992-04-02
"1920",123,4.6944042949,38,31.875,"Friday",1992-04-03
"1921",111,-20.84670365,36.5,22.125,"Saturday",1992-04-04
"1922",112,-11.89735235,38.5,23.25,"Sunday",1992-04-05
"1923",143,8.600734275,49.5,31.875,"Monday",1992-04-06
"1924",110,35.409460491,52,38.5,"Tuesday",1992-04-07
"1925",114,11.809089577,50.5,28.125,"Wednesday",1992-04-08
"1926",117,-4.154881711,48,36,"Thursday",1992-04-09
"1927",107,11.618618619,57.5,57.375,"Friday",1992-04-10
"1928",99,-15.37349398,49.5,36.375,"Saturday",1992-04-11
"1929",101,-18.18912682,37,19,"Sunday",1992-04-12
"1930",112,-1.475903614,38,28.625,"Monday",1992-04-13
"1931",124,3.0865674235,42,31.875,"Tuesday",1992-04-14
"1932",110,11.559806534,48.5,50.375,"Wednesday",1992-04-15
"1933",117,-15.35385081,53,40.25,"Thursday",1992-04-16
"1934",120,-18.13871995,41.5,38.75,"Friday",1992-04-17
"1935",87,5.5567771524,51,58.125,"Saturday",1992-04-18
"1936",113,-24.90952381,65.5,59.75,"Sunday",1992-04-19
"1937",116,-18.62637755,66,58.25,"Monday",1992-04-20
"1938",116,-6.650738023,48,36.5,"Tuesday",1992-04-21
"1939",115,-11.88207547,43,30.875,"Wednesday",1992-04-22
"1940",136,-0.635911571,48.5,42.75,"Thursday",1992-04-23
"1941",119,-0.215955435,44.5,37.625,"Friday",1992-04-24
"1942",120,-27.39625264,43.5,33.625,"Saturday",1992-04-25
"1943",102,-29.90045035,46.5,36.5,"Sunday",1992-04-26
"1944",131,-21.48971118,40.5,26.25,"Monday",1992-04-27
"1945",118,13.039261698,44,29.5,"Tuesday",1992-04-28
"1946",118,10.353215186,58.5,51.625,"Wednesday",1992-04-29
"1947",108,18.301480521,49.5,42.125,"Thursday",1992-04-30
"1948",114,98.936459501,64.5,52.5,"Friday",1992-05-01
"1949",111,25.010868667,64,32.5,"Saturday",1992-05-02
"1950",116,-7.544304673,48.5,34.875,"Sunday",1992-05-03
"1951",108,-18.55331368,44,29.875,"Monday",1992-05-04
"1952",108,13.988050551,43.5,23.125,"Tuesday",1992-05-05
"1953",91,-4.301439303,44.5,21.25,"Wednesday",1992-05-06
"1954",114,58.115755649,52,24.75,"Thursday",1992-05-07
"1955",130,23.129309866,56,28,"Friday",1992-05-08
"1956",109,15.43373494,58.5,48.25,"Saturday",1992-05-09
"1957",121,19.379518072,65.5,48.5,"Sunday",1992-05-10
"1958",112,50.457831325,72,56.375,"Monday",1992-05-11
"1959",127,13.558475509,69,61.5,"Tuesday",1992-05-12
"1960",111,NA,55,36.875,"Wednesday",1992-05-13
"1961",108,-14.45783133,54,46,"Thursday",1992-05-14
"1962",103,47.575301205,60.5,48.875,"Friday",1992-05-15
"1963",103,33.620481928,73,60.25,"Saturday",1992-05-16
"1964",114,1.686746988,67.5,48.625,"Sunday",1992-05-17
"1965",92,-13.17158635,52,43.5,"Monday",1992-05-18
"1966",106,4.6996996997,57.5,44.125,"Tuesday",1992-05-19
"1967",116,NA,67,51.125,"Wednesday",1992-05-20
"1968",96,58.648648649,71,60.5,"Thursday",1992-05-21
"1969",114,49.664670659,73.5,64.125,"Friday",1992-05-22
"1970",105,20.718562874,55,36.125,"Saturday",1992-05-23
"1971",95,-22.95229129,40.5,30.625,"Sunday",1992-05-24
"1972",122,NA,41,32.75,"Monday",1992-05-25
"1973",88,-15.2245509,44,29.375,"Tuesday",1992-05-26
"1974",113,4.8173652695,48,24.625,"Wednesday",1992-05-27
"1975",87,36.868263473,50.5,31.375,"Thursday",1992-05-28
"1976",126,22.823353293,55,33.75,"Friday",1992-05-29
"1977",98,-0.173227565,58,42.375,"Saturday",1992-05-30
"1978",119,8.8567164179,60,39.75,"Sunday",1992-05-31
"1979",115,9.8143712575,59,45.5,"Monday",1992-06-01
"1980",109,-12.2005988,61.5,40.25,"Tuesday",1992-06-02
"1981",121,21.754491018,65,48.25,"Wednesday",1992-06-03
"1982",125,17.778443114,65.5,60.75,"Thursday",1992-06-04
"1983",109,20.207777694,67.5,58.375,"Friday",1992-06-05
"1984",120,19.69760479,67.5,56.625,"Saturday",1992-06-06
"1985",96,-14.31137725,66.5,44.5,"Sunday",1992-06-07
"1986",96,-14.33233533,62,47.75,"Monday",1992-06-08
"1987",106,-15.33134328,65,43.875,"Tuesday",1992-06-09
"1988",107,-6.352238806,64,42.5,"Wednesday",1992-06-10
"1989",104,8.1097057295,67,47.25,"Thursday",1992-06-11
"1990",133,1.5074626866,69,45.75,"Friday",1992-06-12
"1991",113,27.543283582,73.5,52.125,"Saturday",1992-06-13
"1992",131,11.626865672,75.5,61,"Sunday",1992-06-14
"1993",121,11.611940299,71,54.375,"Monday",1992-06-15
"1994",105,42.608955224,75.5,62,"Tuesday",1992-06-16
"1995",110,38.636087746,75.5,62.75,"Wednesday",1992-06-17
"1996",100,8.647761194,73,59.125,"Thursday",1992-06-18
"1997",112,NA,59.5,47.125,"Friday",1992-06-19
"1998",98,-30.32537313,51.5,38.5,"Saturday",1992-06-20
"1999",87,-24.34328358,49,33.375,"Sunday",1992-06-21
"2000",106,28.564179104,52.5,43,"Monday",1992-06-22
"2001",108,15.490345759,66,52.25,"Tuesday",1992-06-23
"2002",125,6.4268656716,62.5,51.25,"Wednesday",1992-06-24
"2003",102,16.443113772,64,57.5,"Thursday",1992-06-25
"2004",108,7.4384384384,61.5,52.375,"Friday",1992-06-26
"2005",100,-16.54354354,58,35.375,"Saturday",1992-06-27
"2006",87,4.4654654655,62,49,"Sunday",1992-06-28
"2007",112,20.730695195,71.5,54.25,"Monday",1992-06-29
"2008",89,-15.52265861,66.5,52.5,"Tuesday",1992-06-30
"2009",130,41.439393939,74.5,64.625,"Wednesday",1992-07-01
"2010",108,45.419452888,77,65.625,"Thursday",1992-07-02
"2011",108,-9.556231003,67,55.375,"Friday",1992-07-03
"2012",95,-9.486322188,71,62,"Saturday",1992-07-04
"2013",99,-13.70951185,68.5,52.125,"Sunday",1992-07-05
"2014",99,NA,66,49,"Monday",1992-07-06
"2015",112,25.545731707,67.5,64.625,"Tuesday",1992-07-07
"2016",119,32.548780488,79.5,68.25,"Wednesday",1992-07-08
"2017",126,-1.475609756,74,64.625,"Thursday",1992-07-09
"2018",98,-1.402439024,76.5,60.25,"Friday",1992-07-10
"2019",91,-0.560618912,73,64.5,"Saturday",1992-07-11
"2020",92,-8.262195122,73.5,71.625,"Sunday",1992-07-12
"2021",110,-19.25,69.5,68.75,"Monday",1992-07-13
"2022",102,-22.30182927,65,60.125,"Tuesday",1992-07-14
"2023",107,-14.29573171,68,51.875,"Wednesday",1992-07-15
"2024",101,7.7896341463,68,66.875,"Thursday",1992-07-16
"2025",106,-5.03521521,74,61.875,"Friday",1992-07-17
"2026",103,-10.14939024,68,62.625,"Saturday",1992-07-18
"2027",99,-9.109422492,72.5,67.875,"Sunday",1992-07-19
"2028",94,-15.13719512,68,59.375,"Monday",1992-07-20
"2029",109,-26.125,62,48.75,"Tuesday",1992-07-21
"2030",101,-4.136778116,63.5,60.125,"Wednesday",1992-07-22
"2031",95,-4.24205994,62.5,58,"Thursday",1992-07-23
"2032",105,-9.024316109,67,60.875,"Friday",1992-07-24
"2033",114,0.0638297872,67.5,70.625,"Saturday",1992-07-25
"2034",97,2.0182370821,74,64.125,"Sunday",1992-07-26
"2035",107,-3.984802432,71.5,57.625,"Monday",1992-07-27
"2036",108,9.0395136778,71.5,67.125,"Tuesday",1992-07-28
"2037",103,-9.823421812,66.5,55.25,"Wednesday",1992-07-29
"2038",101,-15.96352584,61.5,62.75,"Thursday",1992-07-30
"2039",94,-13.85714286,67,51.5,"Friday",1992-07-31
"2040",104,NA,68,57.375,"Saturday",1992-08-01
"2041",110,-9.899696049,69,62.5,"Sunday",1992-08-02
"2042",110,-6.643566781,65.5,57.25,"Monday",1992-08-03
"2043",118,-11.59408097,62.5,50.125,"Tuesday",1992-08-04
"2044",100,-16.58557303,63,49.75,"Wednesday",1992-08-05
"2045",119,-4.987841945,67.5,56.875,"Thursday",1992-08-06
"2046",100,20.637090823,68.5,69.375,"Friday",1992-08-07
"2047",111,4.2123782006,75.5,68.5,"Saturday",1992-08-08
"2048",104,5.2035160794,80,77.25,"Sunday",1992-08-09
"2049",110,1.0930911583,79,58.375,"Monday",1992-08-10
"2050",107,-6.90881459,70,52.375,"Tuesday",1992-08-11
"2051",105,-6.890577508,62,56.75,"Wednesday",1992-08-12
"2052",102,-17.96677799,60.5,50.125,"Thursday",1992-08-13
"2053",99,-14.39675035,61,46.375,"Friday",1992-08-14
"2054",104,-19.70820669,62,48.75,"Saturday",1992-08-15
"2055",105,-7.920107777,63,48.875,"Sunday",1992-08-16
"2056",93,41.628270472,63,51.125,"Monday",1992-08-17
"2057",103,16.157077057,66,61,"Tuesday",1992-08-18
"2058",105,-22.38822616,63,50.5,"Wednesday",1992-08-19
"2059",97,14.9218107,62,46.375,"Thursday",1992-08-20
"2060",105,35.970959883,64.5,54.125,"Friday",1992-08-21
"2061",135,24.892957563,67,61.875,"Saturday",1992-08-22
"2062",98,18.953965952,75,66.125,"Sunday",1992-08-23
"2063",95,37.013928121,78.5,68.125,"Monday",1992-08-24
"2064",103,13.187692308,79,67.75,"Tuesday",1992-08-25
"2065",122,-21.02254317,66.5,60.375,"Wednesday",1992-08-26
"2066",92,-9.532490297,59.5,54.875,"Thursday",1992-08-27
"2067",109,-8.527226736,59.5,48.5,"Friday",1992-08-28
"2068",95,10.936311598,65,59.25,"Saturday",1992-08-29
"2069",115,-9.634433348,66,51.375,"Sunday",1992-08-30
"2070",116,5.2127659574,63.5,51.75,"Monday",1992-08-31
"2071",130,22.353874762,63,58.25,"Tuesday",1992-09-01
"2072",123,15.423577236,70,66.5,"Wednesday",1992-09-02
"2073",101,0.8690732602,67.5,51.125,"Thursday",1992-09-03
"2074",111,0.5167173252,65.5,57.625,"Friday",1992-09-04
"2075",111,-5.526342452,70.5,65.75,"Saturday",1992-09-05
"2076",111,-3.97551091,75,66.75,"Sunday",1992-09-06
"2077",108,-5.511985074,73.5,65.5,"Monday",1992-09-07
"2078",93,6.5243902439,64,48.125,"Tuesday",1992-09-08
"2079",118,-13.35824292,63,62.875,"Wednesday",1992-09-09
"2080",119,1.5494291645,60,48.75,"Thursday",1992-09-10
"2081",97,-1.511490844,58,51.625,"Friday",1992-09-11
"2082",118,-1.005794845,62,51,"Saturday",1992-09-12
"2083",96,9.964835545,67.5,56.25,"Sunday",1992-09-13
"2084",144,29.249518126,72.5,70,"Monday",1992-09-14
"2085",104,12.852628216,76.5,69.125,"Tuesday",1992-09-15
"2086",90,63.264715694,77,65.25,"Wednesday",1992-09-16
"2087",96,25.725705601,71.5,66.625,"Thursday",1992-09-17
"2088",115,1.2004210474,62,44.5,"Friday",1992-09-18
"2089",117,-9.824314859,53.5,42.375,"Saturday",1992-09-19
"2090",134,-13.36395664,59,56.375,"Sunday",1992-09-20
"2091",119,3.5968685095,64,62.5,"Monday",1992-09-21
"2092",124,-3.302620011,51.5,39.25,"Tuesday",1992-09-22
"2093",80,-7.62006079,49.5,39.375,"Wednesday",1992-09-23
"2094",122,-3.605484941,53.5,41.25,"Thursday",1992-09-24
"2095",116,13.454074456,59.5,53.75,"Friday",1992-09-25
"2096",128,-12.01985104,63,60,"Saturday",1992-09-26
"2097",110,-14.40368475,59,43.125,"Sunday",1992-09-27
"2098",111,-2.525032755,49.5,36.75,"Monday",1992-09-28
"2099",104,36.440725156,49.5,38.5,"Tuesday",1992-09-29
"2100",112,55.468227172,53.5,43.125,"Wednesday",1992-09-30
"2101",107,49.48844739,58.5,48,"Thursday",1992-10-01
"2102",115,45.959383189,63.5,53.625,"Friday",1992-10-02
"2103",106,7.7991226581,66,52.625,"Saturday",1992-10-03
"2104",125,-9.510910099,59,46.5,"Sunday",1992-10-04
"2105",113,-9.533536585,53,41.875,"Monday",1992-10-05
"2106",113,32.135078613,53,45.5,"Tuesday",1992-10-06
"2107",119,39.79338843,58,52,"Wednesday",1992-10-07
"2108",91,6.2380568434,57.5,41,"Thursday",1992-10-08
"2109",115,-13.88247255,49,45.75,"Friday",1992-10-09
"2110",107,2.975308642,51.5,41.75,"Saturday",1992-10-10
"2111",127,19.898265694,51.5,36.375,"Sunday",1992-10-11
"2112",112,17.435885914,53.5,28.625,"Monday",1992-10-12
"2113",118,17.276422764,47,38.25,"Tuesday",1992-10-13
"2114",118,4.979737144,55.5,49,"Wednesday",1992-10-14
"2115",101,-14.42424316,50,49.375,"Thursday",1992-10-15
"2116",119,-7.907102599,40.5,27.5,"Friday",1992-10-16
"2117",94,-6.95353883,38.5,29.375,"Saturday",1992-10-17
"2118",107,-2.415270088,35,18.125,"Sunday",1992-10-18
"2119",113,-9.37681808,33,20,"Monday",1992-10-19
"2120",109,1.5993137913,45.5,42.375,"Tuesday",1992-10-20
"2121",108,9.4407650363,47,40.25,"Wednesday",1992-10-21
"2122",126,23.465955285,57.5,57.875,"Thursday",1992-10-22
"2123",121,82.130081301,67,56.875,"Friday",1992-10-23
"2124",115,-9.37347561,51,42.5,"Saturday",1992-10-24
"2125",121,-2.907194003,49,43.125,"Sunday",1992-10-25
"2126",141,0.5643507123,49,38.125,"Monday",1992-10-26
"2127",107,45.283174676,46.5,35.75,"Tuesday",1992-10-27
"2128",107,71.406504065,50.5,34.75,"Wednesday",1992-10-28
"2129",113,-10.02864233,45,37.125,"Thursday",1992-10-29
"2130",151,-15.49600978,45,37.875,"Friday",1992-10-30
"2131",110,-28.85772358,44,35.875,"Saturday",1992-10-31
"2132",110,-2.220858896,45.5,44.125,"Sunday",1992-11-01
"2133",88,-20.53839303,48,35.75,"Monday",1992-11-02
"2134",125,-17.2208589,37,35,"Tuesday",1992-11-03
"2135",122,-26.49997506,35.5,28.75,"Wednesday",1992-11-04
"2136",121,-20.81707317,32.5,22.5,"Thursday",1992-11-05
"2137",127,-11.3006135,34,21.75,"Friday",1992-11-06
"2138",130,-11.99305121,34,30.875,"Saturday",1992-11-07
"2139",110,-5.789735916,38,35.125,"Sunday",1992-11-08
"2140",128,-7.620613,48,41.625,"Monday",1992-11-09
"2141",120,-2.532777558,49.5,51,"Tuesday",1992-11-10
"2142",117,-15.53940301,44.5,39.375,"Wednesday",1992-11-11
"2143",126,NA,40,27.625,"Thursday",1992-11-12
"2144",97,-12.10073468,30.5,20.875,"Friday",1992-11-13
"2145",116,-14.02467812,28,16.875,"Saturday",1992-11-14
"2146",123,-12.61179606,29,21.625,"Sunday",1992-11-15
"2147",106,-6.565767295,36.5,37.375,"Monday",1992-11-16
"2148",118,2.8607663249,38.5,32.75,"Tuesday",1992-11-17
"2149",98,-11.07958835,39,34.25,"Wednesday",1992-11-18
"2150",113,-6.162825045,40.5,37.125,"Thursday",1992-11-19
"2151",120,1.6834713249,52,44.5,"Friday",1992-11-20
"2152",105,-19.03178767,48.5,40.375,"Saturday",1992-11-21
"2153",113,-27.94558582,41,39.5,"Sunday",1992-11-22
"2154",126,-4.921388368,38,36.375,"Monday",1992-11-23
"2155",107,-13.38827749,39.5,37.875,"Tuesday",1992-11-24
"2156",129,-1.936909711,43.5,42.5,"Wednesday",1992-11-25
"2157",99,-21.31333571,36.5,26,"Thursday",1992-11-26
"2158",114,-9.316375235,29.5,24.125,"Friday",1992-11-27
"2159",108,-7.197044533,30,25.625,"Saturday",1992-11-28
"2160",100,-19.51320755,35,30.875,"Sunday",1992-11-29
"2161",125,5.5037593985,33.5,25.25,"Monday",1992-11-30
"2162",113,-13.68292683,32,28,"Tuesday",1992-12-01
"2163",112,-11.45744982,32.5,19.875,"Wednesday",1992-12-02
